Unnamed: 0,Area,Item,Year,hg/ha_yield,Avg_rain,pesticides_tonnes,avg_temp,country_no
37,Albania,Soybeans,1997,12768,1485,376.93,15.9,0
38,Albania,Wheat,1997,28516,1485,376.93,15.9,0
39,Albania,Maize,1998,33416,1485,439.89,16.27,0
40,Albania,Potatoes,1998,127212,1485,439.89,16.27,0
41,Albania,Soybeans,1998,14327,1485,439.89,16.27,0
42,Albania,Wheat,1998,28037,1485,439.89,16.27,0
43,Albania,Maize,1999,37455,1485,502.86,16.57,0
44,Albania,Potatoes,1999,142018,1485,502.86,16.57,0
45,Albania,Soybeans,1999,17143,1485,502.86,16.57,0
46,Albania,Wheat,1999,24954,1485,502.86,16.57,0
47,Albania,Maize,2000,38811,1485,565.82,16.67,0
48,Albania,Potatoes,2000,141228,1485,565.82,16.67,0
49,Albania,Soybeans,2000,15000,1485,565.82,16.67,0
50,Albania,Wheat,2000,30455,1485,565.82,16.67,0
51,Albania,Maize,2001,38135,1485,628.79,16.59,0
52,Albania,Potatoes,2001,148818,1485,628.79,16.59,0
53,Albania,Soybeans,2001,20000,1485,628.79,16.59,0
54,Albania,Wheat,2001,28220,1485,628.79,16.59,0
55,Albania,Maize,2002,39460,1485,691.75,16.47,0
56,Albania,Potatoes,2002,153868,1485,691.75,16.47,0
57,Albania,Soybeans,2002,20000,1485,691.75,16.47,0
58,Albania,Wheat,2002,31617,1485,691.75,16.47,0
59,Albania,Maize,2004,46197,1485,817.68,16.16,0
60,Albania,Potatoes,2004,149346,1485,817.68,16.16,0
61,Albania,Soybeans,2004,13333,1485,817.68,16.16,0
62,Albania,Wheat,2004,31130,1485,817.68,16.16,0
63,Albania,Maize,2005,45442,1485,880.64,15.67,0
64,Albania,Potatoes,2005,167061,1485,880.64,15.67,0
65,Albania,Soybeans,2005,17500,1485,880.64,15.67,0
66,Albania,Wheat,2005,31582,1485,880.64,15.67,0
67,Albania,Maize,2006,50111,1485,943.61,15.92,0
68,Albania,Potatoes,2006,170745,1485,943.61,15.92,0
69,Albania,Soybeans,2006,20000,1485,943.61,15.92,0
70,Albania,Wheat,2006,30787,1485,943.61,15.92,0
71,Albania,Maize,2007,46732,1485,1006.57,16.67,0
72,Albania,Potatoes,2007,188902,1485,1006.57,16.67,0
73,Albania,Soybeans,2007,20000,1485,1006.57,16.67,0
74,Albania,Wheat,2007,35496,1485,1006.57,16.67,0
75,Albania,Maize,2008,50000,1485,1069.54,16.71,0
76,Albania,Potatoes,2008,193878,1485,1069.54,16.71,0
77,Albania,Soybeans,2008,20000,1485,1069.54,16.71,0
78,Albania,Wheat,2008,40168,1485,1069.54,16.71,0
79,Albania,Maize,2009,55693,1485,1132.5,16.73,0
80,Albania,Potatoes,2009,219780,1485,1132.5,16.73,0
81,Albania,Soybeans,2009,16667,1485,1132.5,16.73,0
82,Albania,Wheat,2009,40229,1485,1132.5,16.73,0
83,Albania,Maize,2010,66790,1485,1311.17,16.52,0
84,Albania,Potatoes,2010,231111,1485,1311.17,16.52,0
85,Albania,Soybeans,2010,16667,1485,1311.17,16.52,0
86,Albania,Wheat,2010,39905,1485,1311.17,16.52,0
87,Albania,Maize,2011,59869,1485,1302.63,16.45,0
88,Albania,Potatoes,2011,242211,1485,1302.63,16.45,0
89,Albania,Soybeans,2011,18519,1485,1302.63,16.45,0
90,Albania,Wheat,2011,42301,1485,1302.63,16.45,0
91,Albania,Maize,2012,67290,1485,766.25,16.7,0
92,Albania,Potatoes,2012,250538,1485,766.25,16.7,0
93,Albania,Soybeans,2012,13333,1485,766.25,16.7,0
94,Albania,Wheat,2012,41096,1485,766.25,16.7,0
95,Albania,Maize,2013,69533,1485,982.32,17.41,0
96,Albania,Potatoes,2013,260110,1485,982.32,17.41,0
97,Albania,Soybeans,2013,10000,1485,982.32,17.41,0
98,Albania,Wheat,2013,41292,1485,982.32,17.41,0
99,Algeria,Maize,1990,16500,89,1828.92,17.48,1
100,Algeria,Potatoes,1990,78936,89,1828.92,17.48,1
101,Algeria,RicePaddy,1990,28000,89,1828.92,17.48,1
102,Algeria,Sorghum,1990,16571,89,1828.92,17.48,1
103,Algeria,Wheat,1990,6315,89,1828.92,17.48,1
104,Algeria,Maize,1991,19231,89,2461.8,16.26,1
105,Algeria,Potatoes,1991,90747,89,2461.8,16.26,1
106,Algeria,RicePaddy,1991,26786,89,2461.8,16.26,1
107,Algeria,Sorghum,1991,24231,89,2461.8,16.26,1
108,Algeria,Wheat,1991,10809,89,2461.8,16.26,1
109,Algeria,Maize,1992,22828,89,1215.47,16.27,1
110,Algeria,Potatoes,1992,107917,89,1215.47,16.27,1
111,Algeria,RicePaddy,1992,24733,89,1215.47,16.27,1
112,Algeria,Sorghum,1992,40000,89,1215.47,16.27,1
113,Algeria,Wheat,1992,9939,89,1215.47,16.27,1
114,Algeria,Maize,1993,12500,89,1021.89,17.0,1
115,Algeria,Potatoes,1993,111215,89,1021.89,17.0,1
116,Algeria,RicePaddy,1993,23111,89,1021.89,17.0,1
117,Algeria,Sorghum,1993,50000,89,1021.89,17.0,1
118,Algeria,Wheat,1993,8097,89,1021.89,17.0,1
119,Algeria,Maize,1994,4512,89,1255.02,17.88,1
120,Algeria,Potatoes,1994,95078,89,1255.02,17.88,1
121,Algeria,RicePaddy,1994,21374,89,1255.02,17.88,1
122,Algeria,Wheat,1994,7999,89,1255.02,17.88,1
123,Algeria,Maize,1995,16115,89,2697.09,17.36,1
124,Algeria,Potatoes,1995,136768,89,2697.09,17.36,1
125,Algeria,RicePaddy,1995,19598,89,2697.09,17.36,1
126,Algeria,Sorghum,1995,12667,89,2697.09,17.36,1
127,Algeria,Wheat,1995,8924,89,2697.09,17.36,1
128,Algeria,Maize,1996,17154,89,479.77,16.76,1
129,Algeria,Potatoes,1996,134629,89,479.77,16.76,1
130,Algeria,RicePaddy,1996,17861,89,479.77,16.76,1
131,Algeria,Sorghum,1996,14750,89,479.77,16.76,1
132,Algeria,Wheat,1996,13090,89,479.77,16.76,1
133,Algeria,Maize,1997,21417,89,401.22,17.84,1
134,Algeria,Potatoes,1997,141042,89,401.22,17.84,1
135,Algeria,RicePaddy,1997,15000,89,401.22,17.84,1
136,Algeria,Sorghum,1997,40000,89,401.22,17.84,1
137,Algeria,Wheat,1997,8016,89,401.22,17.84,1
138,Algeria,Maize,1998,17222,89,322.84,17.14,1
139,Algeria,Potatoes,1998,160256,89,322.84,17.14,1
140,Algeria,RicePaddy,1998,15000,89,322.84,17.14,1
141,Algeria,Sorghum,1998,24500,89,322.84,17.14,1
142,Algeria,Wheat,1998,8847,89,322.84,17.14,1
143,Algeria,Maize,1999,22375,89,654.45,17.97,1
144,Algeria,Potatoes,1999,153532,89,654.45,17.97,1
145,Algeria,RicePaddy,1999,13942,89,654.45,17.97,1
146,Algeria,Sorghum,1999,27000,89,654.45,17.97,1
147,Algeria,Wheat,1999,10711,89,654.45,17.97,1
148,Algeria,Maize,2000,36186,89,603.67,17.9,1
149,Algeria,Potatoes,2000,166143,89,603.67,17.9,1
150,Algeria,RicePaddy,2000,13052,89,603.67,17.9,1
151,Algeria,Sorghum,2000,69500,89,603.67,17.9,1
152,Algeria,Wheat,2000,9194,89,603.67,17.9,1
153,Algeria,Maize,2001,27175,89,710.11,18.13,1
154,Algeria,Potatoes,2001,147018,89,710.11,18.13,1
155,Algeria,RicePaddy,2001,12314,89,710.11,18.13,1
156,Algeria,Sorghum,2001,27750,89,710.11,18.13,1
157,Algeria,Wheat,2001,11104,89,710.11,18.13,1
158,Algeria,Maize,2002,33480,89,816.55,17.85,1
159,Algeria,Potatoes,2002,183774,89,816.55,17.85,1
160,Algeria,RicePaddy,2002,12959,89,816.55,17.85,1
161,Algeria,Sorghum,2002,33900,89,816.55,17.85,1
162,Algeria,Wheat,2002,10739,89,816.55,17.85,1
163,Algeria,Maize,2004,31729,89,3747.86,17.38,1
164,Algeria,Potatoes,2004,203585,89,3747.86,17.38,1
165,Algeria,RicePaddy,2004,12829,89,3747.86,17.38,1
166,Algeria,Sorghum,2004,43316,89,3747.86,17.38,1
167,Algeria,Wheat,2004,13582,89,3747.86,17.38,1
168,Algeria,Maize,2005,33864,89,3662.87,17.19,1
169,Algeria,Potatoes,2005,216267,89,3662.87,17.19,1
170,Algeria,RicePaddy,2005,12998,89,3662.87,17.19,1
171,Algeria,Sorghum,2005,33486,89,3662.87,17.19,1
172,Algeria,Wheat,2005,15057,89,3662.87,17.19,1
173,Algeria,Maize,2006,65668,89,4110.72,18.13,1
174,Algeria,Potatoes,2006,220689,89,4110.72,18.13,1
175,Algeria,RicePaddy,2006,12769,89,4110.72,18.13,1
176,Algeria,Sorghum,2006,56728,89,4110.72,18.13,1
177,Algeria,Wheat,2006,15068,89,4110.72,18.13,1
178,Algeria,Maize,2007,85625,89,5390.79,17.42,1
179,Algeria,Potatoes,2007,189927,89,5390.79,17.42,1
180,Algeria,RicePaddy,2007,13375,89,5390.79,17.42,1
181,Algeria,Sorghum,2007,119059,89,5390.79,17.42,1
182,Algeria,Wheat,2007,12742,89,5390.79,17.42,1
183,Algeria,Maize,2008,44714,89,11556.12,17.55,1
184,Algeria,Potatoes,2008,236393,89,11556.12,17.55,1
185,Algeria,RicePaddy,2008,13952,89,11556.12,17.55,1
186,Algeria,Sorghum,2008,61786,89,11556.12,17.55,1
187,Algeria,Wheat,2008,11038,89,11556.12,17.55,1
188,Algeria,Maize,2009,30914,89,3867.99,17.78,1
189,Algeria,Potatoes,2009,250764,89,3867.99,17.78,1
190,Algeria,RicePaddy,2009,14594,89,3867.99,17.78,1
191,Algeria,Sorghum,2009,90465,89,3867.99,17.78,1
192,Algeria,Wheat,2009,15975,89,3867.99,17.78,1
193,Algeria,Maize,2010,25827,89,1295.88,17.59,1
194,Algeria,Potatoes,2010,270526,89,1295.88,17.59,1
195,Algeria,RicePaddy,2010,15305,89,1295.88,17.59,1
196,Algeria,Sorghum,2010,30286,89,1295.88,17.59,1
197,Algeria,Wheat,2010,14838,89,1295.88,17.59,1
198,Algeria,Maize,2011,23374,89,13861.76,17.79,1
199,Algeria,Potatoes,2011,292806,89,13861.76,17.79,1
200,Algeria,RicePaddy,2011,16081,89,13861.76,17.79,1
201,Algeria,Sorghum,2011,100000,89,13861.76,17.79,1
202,Algeria,Wheat,2011,17405,89,13861.76,17.79,1
203,Algeria,Maize,2012,25583,89,17379.76,17.91,1
204,Algeria,Potatoes,2012,304291,89,17379.76,17.91,1
205,Algeria,RicePaddy,2012,16667,89,17379.76,17.91,1
206,Algeria,Sorghum,2012,206000,89,17379.76,17.91,1
207,Algeria,Wheat,2012,17639,89,17379.76,17.91,1
208,Algeria,Maize,2013,33649,89,17278.65,17.65,1
209,Algeria,Potatoes,2013,303218,89,17278.65,17.65,1
210,Algeria,RicePaddy,2013,17778,89,17278.65,17.65,1
211,Algeria,Sorghum,2013,60000,89,17278.65,17.65,1
212,Algeria,Wheat,2013,19100,89,17278.65,17.65,1
213,Angola,Cassava,1990,41177,1010,64.0,24.12,2
214,Angola,Maize,1990,2736,1010,64.0,24.12,2
215,Angola,Potatoes,1990,40000,1010,64.0,24.12,2
216,Angola,RicePaddy,1990,9512,1010,64.0,24.12,2
217,Angola,Sweet potatoes,1990,89342,1010,64.0,24.12,2
218,Angola,Wheat,1990,7995,1010,64.0,24.12,2
219,Angola,Cassava,1991,40295,1010,79.0,24.02,2
220,Angola,Maize,1991,4013,1010,79.0,24.02,2
221,Angola,Potatoes,1991,40000,1010,79.0,24.02,2
222,Angola,RicePaddy,1991,10000,1010,79.0,24.02,2
223,Angola,Sweet potatoes,1991,83001,1010,79.0,24.02,2
224,Angola,Wheat,1991,8000,1010,79.0,24.02,2
225,Angola,Cassava,1992,42295,1010,23.0,23.96,2
226,Angola,Maize,1992,3778,1010,23.0,23.96,2
227,Angola,Potatoes,1992,40000,1010,23.0,23.96,2
228,Angola,RicePaddy,1992,9106,1010,23.0,23.96,2
229,Angola,Sweet potatoes,1992,90000,1010,23.0,23.96,2
230,Angola,Wheat,1992,8000,1010,23.0,23.96,2
231,Angola,Cassava,1993,42295,1010,169.0,24.15,2
232,Angola,Maize,1993,2627,1010,169.0,24.15,2
233,Angola,Potatoes,1993,70000,1010,169.0,24.15,2
234,Angola,RicePaddy,1993,8000,1010,169.0,24.15,2
235,Angola,Sweet potatoes,1993,88095,1010,169.0,24.15,2
236,Angola,Wheat,1993,8876,1010,169.0,24.15,2
237,Angola,Cassava,1994,58596,1010,25.5,24.04,2
238,Angola,Maize,1994,2463,1010,25.5,24.04,2
239,Angola,Potatoes,1994,90000,1010,25.5,24.04,2
240,Angola,RicePaddy,1994,8750,1010,25.5,24.04,2
241,Angola,Sweet potatoes,1994,83192,1010,25.5,24.04,2
242,Angola,Wheat,1994,10000,1010,25.5,24.04,2
243,Angola,Cassava,1995,51000,1010,336.0,24.56,2
244,Angola,Maize,1995,3517,1010,336.0,24.56,2
245,Angola,Potatoes,1995,76738,1010,336.0,24.56,2
246,Angola,RicePaddy,1995,14615,1010,336.0,24.56,2
247,Angola,Sweet potatoes,1995,81138,1010,336.0,24.56,2
248,Angola,Wheat,1995,11855,1010,336.0,24.56,2
249,Angola,Cassava,1996,48077,1010,40.0,24.11,2
250,Angola,Maize,1996,6993,1010,40.0,24.11,2
251,Angola,Potatoes,1996,70000,1010,40.0,24.11,2
252,Angola,RicePaddy,1996,17500,1010,40.0,24.11,2
253,Angola,Sweet potatoes,1996,85455,1010,40.0,24.11,2
254,Angola,Wheat,1996,13738,1010,40.0,24.11,2
255,Angola,Cassava,1997,44205,1010,40.0,24.06,2
256,Angola,Maize,1997,5959,1010,40.0,24.06,2
257,Angola,Potatoes,1997,68571,1010,40.0,24.06,2
258,Angola,RicePaddy,1997,20000,1010,40.0,24.06,2
259,Angola,Sweet potatoes,1997,78098,1010,40.0,24.06,2
260,Angola,Wheat,1997,15509,1010,40.0,24.06,2
261,Angola,Cassava,1998,55728,1010,40.0,24.96,2
262,Angola,Maize,1998,7396,1010,40.0,24.96,2
263,Angola,Potatoes,1998,62724,1010,40.0,24.96,2
264,Angola,RicePaddy,1998,20000,1010,40.0,24.96,2
265,Angola,Sweet potatoes,1998,76256,1010,40.0,24.96,2
266,Angola,Wheat,1998,17143,1010,40.0,24.96,2
267,Angola,Cassava,1999,59821,1010,40.0,24.37,2
268,Angola,Maize,1999,6361,1010,40.0,24.37,2
269,Angola,Potatoes,1999,54597,1010,40.0,24.37,2
270,Angola,RicePaddy,1999,14235,1010,40.0,24.37,2
271,Angola,Sweet potatoes,1999,82865,1010,40.0,24.37,2
272,Angola,Wheat,1999,17391,1010,40.0,24.37,2
273,Angola,Cassava,2000,82992,1010,40.0,24.41,2
274,Angola,Maize,2000,5745,1010,40.0,24.41,2
275,Angola,Potatoes,2000,29885,1010,40.0,24.41,2
276,Angola,RicePaddy,2000,13454,1010,40.0,24.41,2
277,Angola,Sorghum,2000,3333,1010,40.0,24.41,2
278,Angola,Soybeans,2000,2333,1010,40.0,24.41,2
279,Angola,Sweet potatoes,2000,34938,1010,40.0,24.41,2
280,Angola,Wheat,2000,17023,1010,40.0,24.41,2
281,Angola,Cassava,2001,94072,1010,40.0,24.43,2
282,Angola,Maize,2001,5754,1010,40.0,24.43,2
283,Angola,Potatoes,2001,42552,1010,40.0,24.43,2
284,Angola,RicePaddy,2001,13701,1010,40.0,24.43,2
285,Angola,Sorghum,2001,3571,1010,40.0,24.43,2
286,Angola,Soybeans,2001,2500,1010,40.0,24.43,2
287,Angola,Sweet potatoes,2001,44458,1010,40.0,24.43,2
288,Angola,Wheat,2001,16667,1010,40.0,24.43,2
289,Angola,Cassava,2002,110071,1010,40.0,24.79,2
290,Angola,Maize,2002,6706,1010,40.0,24.79,2
291,Angola,Potatoes,2002,42754,1010,40.0,24.79,2
292,Angola,RicePaddy,2002,13198,1010,40.0,24.79,2
293,Angola,Sorghum,2002,3400,1010,40.0,24.79,2
294,Angola,Soybeans,2002,2857,1010,40.0,24.79,2
295,Angola,Sweet potatoes,2002,42190,1010,40.0,24.79,2
296,Angola,Wheat,2002,15455,1010,40.0,24.79,2
297,Angola,Cassava,2004,125605,1010,40.0,24.22,2
298,Angola,Maize,2004,5404,1010,40.0,24.22,2
299,Angola,Potatoes,2004,20150,1010,40.0,24.22,2
300,Angola,RicePaddy,2004,11584,1010,40.0,24.22,2
301,Angola,Sorghum,2004,3333,1010,40.0,24.22,2
302,Angola,Soybeans,2004,3600,1010,40.0,24.22,2
303,Angola,Sweet potatoes,2004,45360,1010,40.0,24.22,2
304,Angola,Wheat,2004,12442,1010,40.0,24.22,2
305,Angola,Cassava,2005,117628,1010,40.0,24.41,2
306,Angola,Maize,2005,6736,1010,40.0,24.41,2
307,Angola,Potatoes,2005,23646,1010,40.0,24.41,2
308,Angola,RicePaddy,2005,6977,1010,40.0,24.41,2
309,Angola,Sorghum,2005,3333,1010,40.0,24.41,2
310,Angola,Soybeans,2005,3793,1010,40.0,24.41,2
311,Angola,Sweet potatoes,2005,46159,1010,40.0,24.41,2
312,Angola,Wheat,2005,10946,1010,40.0,24.41,2
313,Angola,Cassava,2006,117201,1010,40.0,24.14,2
314,Angola,Maize,2006,4687,1010,40.0,24.14,2
315,Angola,Potatoes,2006,52148,1010,40.0,24.14,2
316,Angola,RicePaddy,2006,4947,1010,40.0,24.14,2
317,Angola,Sorghum,2006,4091,1010,40.0,24.14,2
318,Angola,Soybeans,2006,4286,1010,40.0,24.14,2
319,Angola,Sweet potatoes,2006,44240,1010,40.0,24.14,2
320,Angola,Wheat,2006,10000,1010,40.0,24.14,2
321,Angola,Cassava,2007,115387,1010,40.0,24.24,2
322,Angola,Maize,2007,5091,1010,40.0,24.24,2
323,Angola,Potatoes,2007,62138,1010,40.0,24.24,2
324,Angola,RicePaddy,2007,5143,1010,40.0,24.24,2
325,Angola,Sorghum,2007,4031,1010,40.0,24.24,2
326,Angola,Soybeans,2007,6883,1010,40.0,24.24,2
327,Angola,Sweet potatoes,2007,58855,1010,40.0,24.24,2
328,Angola,Wheat,2007,10000,1010,40.0,24.24,2
329,Angola,Cassava,2008,148084,1010,40.0,24.27,2
330,Angola,Maize,2008,7946,1010,40.0,24.27,2
331,Angola,Potatoes,2008,85085,1010,40.0,24.27,2
332,Angola,RicePaddy,2008,5084,1010,40.0,24.27,2
333,Angola,Sorghum,2008,929,1010,40.0,24.27,2
334,Angola,Soybeans,2008,8575,1010,40.0,24.27,2
335,Angola,Sweet potatoes,2008,65437,1010,40.0,24.27,2
336,Angola,Wheat,2008,10000,1010,40.0,24.27,2
337,Angola,Cassava,2009,151759,1010,40.0,24.33,2
338,Angola,Maize,2009,6614,1010,40.0,24.33,2
339,Angola,Potatoes,2009,86509,1010,40.0,24.33,2
340,Angola,RicePaddy,2009,6028,1010,40.0,24.33,2
341,Angola,Sorghum,2009,2480,1010,40.0,24.33,2
342,Angola,Soybeans,2009,4449,1010,40.0,24.33,2
343,Angola,Sweet potatoes,2009,66475,1010,40.0,24.33,2
344,Angola,Wheat,2009,10000,1010,40.0,24.33,2
345,Angola,Cassava,2010,155782,1010,40.0,24.44,2
346,Angola,Maize,2010,7200,1010,40.0,24.44,2
347,Angola,Potatoes,2010,87425,1010,40.0,24.44,2
348,Angola,RicePaddy,2010,7403,1010,40.0,24.44,2
349,Angola,Sorghum,2010,2814,1010,40.0,24.44,2
350,Angola,Soybeans,2010,4446,1010,40.0,24.44,2
351,Angola,Sweet potatoes,2010,63001,1010,40.0,24.44,2
352,Angola,Wheat,2010,10526,1010,40.0,24.44,2
353,Angola,Cassava,2011,133649,1010,40.0,24.15,2
354,Angola,Maize,2011,7376,1010,40.0,24.15,2
355,Angola,Potatoes,2011,81366,1010,40.0,24.15,2
356,Angola,RicePaddy,2011,8914,1010,40.0,24.15,2
357,Angola,Sorghum,2011,3320,1010,40.0,24.15,2
358,Angola,Soybeans,2011,5294,1010,40.0,24.15,2
359,Angola,Sweet potatoes,2011,65512,1010,40.0,24.15,2
360,Angola,Wheat,2011,10959,1010,40.0,24.15,2
361,Angola,Cassava,2012,100073,1010,40.0,24.24,2
362,Angola,Maize,2012,7770,1010,40.0,24.24,2
363,Angola,Potatoes,2012,69381,1010,40.0,24.24,2
364,Angola,RicePaddy,2012,7703,1010,40.0,24.24,2
365,Angola,Sorghum,2012,998,1010,40.0,24.24,2
366,Angola,Soybeans,2012,1641,1010,40.0,24.24,2
367,Angola,Sweet potatoes,2012,52954,1010,40.0,24.24,2
368,Angola,Wheat,2012,11258,1010,40.0,24.24,2
369,Angola,Cassava,2013,140517,1010,40.0,24.55,2
370,Angola,Maize,2013,9467,1010,40.0,24.55,2
371,Angola,Potatoes,2013,63303,1010,40.0,24.55,2
372,Angola,RicePaddy,2013,12744,1010,40.0,24.55,2
373,Angola,Sorghum,2013,2415,1010,40.0,24.55,2
374,Angola,Soybeans,2013,4405,1010,40.0,24.55,2
375,Angola,Sweet potatoes,2013,73409,1010,40.0,24.55,2
376,Angola,Wheat,2013,9022,1010,40.0,24.55,2
377,Argentina,Cassava,1990,100000,591,26156.0,17.46,3
378,Argentina,Cassava,1990,100000,591,26156.0,17.67,3
379,Argentina,Maize,1990,34608,591,26156.0,17.46,3
380,Argentina,Maize,1990,34608,591,26156.0,17.67,3
381,Argentina,Potatoes,1990,202747,591,26156.0,17.46,3
382,Argentina,Potatoes,1990,202747,591,26156.0,17.67,3
383,Argentina,RicePaddy,1990,36709,591,26156.0,17.46,3
384,Argentina,RicePaddy,1990,36709,591,26156.0,17.67,3
385,Argentina,Sorghum,1990,28116,591,26156.0,17.46,3
386,Argentina,Sorghum,1990,28116,591,26156.0,17.67,3
387,Argentina,Soybeans,1990,21566,591,26156.0,17.46,3
388,Argentina,Soybeans,1990,21566,591,26156.0,17.67,3
389,Argentina,Sweet potatoes,1990,131864,591,26156.0,17.46,3
390,Argentina,Sweet potatoes,1990,131864,591,26156.0,17.67,3
391,Argentina,Wheat,1990,18947,591,26156.0,17.46,3
392,Argentina,Wheat,1990,18947,591,26156.0,17.67,3
393,Argentina,Cassava,1991,100000,591,26156.0,17.64,3
394,Argentina,Cassava,1991,100000,591,26156.0,17.86,3
395,Argentina,Maize,1991,40444,591,26156.0,17.64,3
396,Argentina,Maize,1991,40444,591,26156.0,17.86,3
397,Argentina,Potatoes,1991,205692,591,26156.0,17.64,3
398,Argentina,Potatoes,1991,205692,591,26156.0,17.86,3
399,Argentina,RicePaddy,1991,40294,591,26156.0,17.64,3
400,Argentina,RicePaddy,1991,40294,591,26156.0,17.86,3
401,Argentina,Sorghum,1991,33320,591,26156.0,17.64,3
402,Argentina,Sorghum,1991,33320,591,26156.0,17.86,3
403,Argentina,Soybeans,1991,22750,591,26156.0,17.64,3
404,Argentina,Soybeans,1991,22750,591,26156.0,17.86,3
405,Argentina,Sweet potatoes,1991,131364,591,26156.0,17.64,3
406,Argentina,Sweet potatoes,1991,131364,591,26156.0,17.86,3
407,Argentina,Wheat,1991,18972,591,26156.0,17.64,3
408,Argentina,Wheat,1991,18972,591,26156.0,17.86,3
409,Argentina,Cassava,1992,100000,591,26156.0,17.09,3
410,Argentina,Cassava,1992,100000,591,26156.0,17.51,3
411,Argentina,Maize,1992,45237,591,26156.0,17.09,3
412,Argentina,Maize,1992,45237,591,26156.0,17.51,3
413,Argentina,Potatoes,1992,199039,591,26156.0,17.09,3
414,Argentina,Potatoes,1992,199039,591,26156.0,17.51,3
415,Argentina,RicePaddy,1992,52075,591,26156.0,17.09,3
416,Argentina,RicePaddy,1992,52075,591,26156.0,17.51,3
417,Argentina,Sorghum,1992,36217,591,26156.0,17.09,3
418,Argentina,Sorghum,1992,36217,591,26156.0,17.51,3
419,Argentina,Soybeans,1992,22915,591,26156.0,17.09,3
420,Argentina,Soybeans,1992,22915,591,26156.0,17.51,3
421,Argentina,Sweet potatoes,1992,127273,591,26156.0,17.09,3
422,Argentina,Sweet potatoes,1992,127273,591,26156.0,17.51,3
423,Argentina,Wheat,1992,21809,591,26156.0,17.09,3
424,Argentina,Wheat,1992,21809,591,26156.0,17.51,3
425,Argentina,Cassava,1993,100000,591,26156.0,17.32,3
426,Argentina,Cassava,1993,100000,591,26156.0,17.53,3
427,Argentina,Maize,1993,43552,591,26156.0,17.32,3
428,Argentina,Maize,1993,43552,591,26156.0,17.53,3
429,Argentina,Potatoes,1993,210314,591,26156.0,17.32,3
430,Argentina,Potatoes,1993,210314,591,26156.0,17.53,3
431,Argentina,RicePaddy,1993,43559,591,26156.0,17.32,3
432,Argentina,RicePaddy,1993,43559,591,26156.0,17.53,3
433,Argentina,Sorghum,1993,39529,591,26156.0,17.32,3
434,Argentina,Sorghum,1993,39529,591,26156.0,17.53,3
435,Argentina,Soybeans,1993,21589,591,26156.0,17.32,3
436,Argentina,Soybeans,1993,21589,591,26156.0,17.53,3
437,Argentina,Sweet potatoes,1993,122955,591,26156.0,17.32,3
438,Argentina,Sweet potatoes,1993,122955,591,26156.0,17.53,3
439,Argentina,Wheat,1993,23272,591,26156.0,17.32,3
440,Argentina,Wheat,1993,23272,591,26156.0,17.53,3
441,Argentina,Cassava,1994,100000,591,30195.0,18.17,3
442,Argentina,Cassava,1994,100000,591,30195.0,18.31,3
443,Argentina,Maize,1994,42371,591,30195.0,18.17,3
444,Argentina,Maize,1994,42371,591,30195.0,18.31,3
445,Argentina,Potatoes,1994,230166,591,30195.0,18.17,3
